iter	RMSE
395	0.5547411674
396	0.5545274052
397	0.5542998569
398	0.5540716156
399	0.5538710784
400	0.5536905957
401	0.5534845309
402	0.5532953886
403	0.5530131953
404	0.5528246393
405	0.5526113533
406	0.5524125833
407	0.5522087001
408	0.5519702818
409	0.5517662196
410	0.5515999495
411	0.5514458225
412	0.5512939048
413	0.551110007
414	0.5509674348
415	0.5507557344
416	0.5505402494
417	0.5503615037
418	0.5501510052
419	0.5499921117
420	0.5497484781
421	0.5495490361
422	0.5493589549
423	0.5492042068
424	0.5490130881
425	0.5488239781
426	0.5486316482
427	0.5484514288
428	0.548234396
429	0.5480354383
430	0.5478730682
431	0.5476808867
432	0.5474811777
433	0.5472987053
434	0.5471613255
435	0.5469716273
436	0.5467719261
437	0.5466374038
438	0.5465010838
439	0.5463048226
440	0.5461437554
441	0.5459361139
442	0.545751237
443	0.5455733185
444	0.5453821881
445	0.5452320633
446	0.5450750443
447	0.5449097132
448	0.5447258685
449	0.5445528966
450	0.5442703057
451	0.5441275589
452	0.5439297727
453	0.543671285
454	0.5435464708
455	0.5432699207
456	0.5431141419
457	0.5429522224
458	0.5428270903
459	0.542649942
460	0.5424655957
461	0.5423269981
462	0.5421472638
463	0.5418788356
464	0.541757167
465	0.5415866707
466	0.541425918
467	0.5412658537
468	0.5410752594
469	0.5409001876
470	0.5407212826
471	0.5405760168
472	0.5404579456
473	0.5403010778
474	0.5401696523
475	0.5400025935
476	0.5398326996
477	0.5396349593
478	0.5394653716
479	0.5393504644
480	0.5391909136
481	0.53901959
482	0.5388078622
483	0.5387068559
484	0.538567823
485	0.5384006183
486	0.5382231086
487	0.5380977586
488	0.5379631874
489	0.537788002
490	0.5376585225
491	0.5375258663
492	0.5374158285
493	0.5372940937
494	0.5371210796
495	0.5370256772
496	0.5368061895
497	0.5366410693
498	0.5365328524
499	0.5364277681
500	0.5362936508
501	0.5361505728
502	0.5360523529
503	0.5359113105
504	0.5357701639
505	0.5356447988
506	0.5355334799
507	0.5354098985
508	0.535215618
509	0.535057611
510	0.5349326972
511	0.5348307264
512	0.5347444878
513	0.5346083314
514	0.5344471727
515	0.5343102185
516	0.5341759118
517	0.5339983333
518	0.533843754
519	0.5337488074
520	0.5336491778
521	0.5335321441
522	0.5334218213
523	0.5333007942
524	0.5331785937
525	0.5330586055
526	0.5328607922
527	0.5326787669
528	0.5325370148
529	0.5324068053
530	0.5323115576
531	0.5322081109
532	0.5320475286
533	0.5319365487
534	0.5318469336
535	0.5317142328
536	0.5315840533
537	0.5314657609
538	0.5313658909
539	0.5312234206
540	0.5310506648
541	0.5309197556
542	0.5308392949
543	0.5307436865
544	0.5306386222
545	0.5305414406
546	0.5304134708
547	0.5303119604
548	0.5301948398
549	0.5300376522
550	0.5299485745
551	0.529835839
552	0.5297607618
553	0.5296523938
554	0.5295417116
555	0.5294434177
556	0.5293230058
557	0.5291496469
558	0.5290428287
559	0.5288336434
560	0.5287263704
561	0.5285384738
562	0.5284027842
563	0.5283149078
564	0.5282080125
565	0.5281040771
566	0.5280164509
567	0.5279201113
568	0.5278032242
569	0.5276454512
570	0.5275407505
571	0.5274486562
572	0.5273722186
573	0.5272805949
574	0.527183431
575	0.5270707953
576	0.526992605
577	0.5269086895
578	0.5268146323
579	0.5266948292
580	0.5266177533
581	0.5265446042
582	0.5264340322
583	0.5263321463
584	0.5261834948
585	0.5260432098
586	0.5259286789
587	0.5257964853
588	0.5256567191
589	0.5255116124
590	0.5254281519
591	0.525308427
592	0.525209983
593	0.5251408519
594	0.5250638187
595	0.5249380453
596	0.5248076611
597	0.5246711597
598	0.5245869209
599	0.5244835428
600	0.524385553
601	0.524310037
602	0.524170611
603	0.5240686702
604	0.5239542082
605	0.523855755
606	0.5237654969
607	0.5236901457
608	0.5235615322
609	0.5234204978
610	0.5233603829
611	0.5233112215
612	0.5231929197
613	0.5230666361
614	0.5229753266
615	0.5228658864
616	0.5227448973
617	0.5226762912
618	0.5226180292
619	0.5225031287
620	0.5223954756
621	0.5223044696
622	0.5222265085
623	0.5221320489
624	0.5220249544
625	0.5219435683
626	0.5218712115
627	0.5217859733
628	0.5216299802
629	0.5214568767
630	0.5213625963
631	0.5212963109
632	0.521190766
633	0.5211118219
634	0.5210313312
635	0.5209254406
636	0.5208396621
637	0.5207787992
638	0.5206728343
639	0.5205790197
640	0.520484702
641	0.5203266738
642	0.5202086328
643	0.5201474741
644	0.5200709223
645	0.5199643204
646	0.5198833067
647	0.5197706762
648	0.5196528578
649	0.5195876033
650	0.5195279148
651	0.5194411673
652	0.519331675
653	0.5192257937
654	0.5191267914
655	0.5190583886
656	0.5189350788
657	0.518825253
658	0.5187268863
659	0.5186378528
660	0.5185494015
661	0.5184442329
662	0.5183671776
663	0.5182914297
664	0.5182280136
665	0.5181188565
666	0.5180466963
667	0.5179412135
668	0.5178401978
669	0.5177682572
670	0.5176859472
671	0.5175453933
672	0.5174284946
673	0.5172966619
674	0.5171492384
675	0.5170639142
676	0.5169547928
677	0.5168662176
678	0.5168020386
679	0.5167277786
680	0.5166548605
681	0.5165581493
682	0.5164869508
683	0.5164349923
684	0.5163651334
685	0.5163045149
686	0.5162442374
687	0.5161465572
688	0.5160382023
689	0.5159463012
690	0.515895989
691	0.5158050549
692	0.5157303232
693	0.5156507947
694	0.5155371115
695	0.5154598404
696	0.5154023982
697	0.5152879285
698	0.5151888364
699	0.5151012407
700	0.5149965775
701	0.5148780354
702	0.5147837499
703	0.5147126684
704	0.5146543178
705	0.514574755
706	0.5144916325
707	0.5143639702
708	0.514266052
709	0.5141331345
710	0.5140188001
711	0.5139457524
712	0.513821277
713	0.5137233341
714	0.513642755
715	0.5135308991
716	0.5134373621
717	0.5133566653
718	0.5132581339
719	0.513133829
720	0.5130773237
721	0.5130089492
722	0.5129341371
723	0.5128725362
724	0.5127589876
725	0.5126783325
726	0.5126279936
727	0.5125759232
728	0.5124669235
729	0.512383396
730	0.5123007863
731	0.5122288393
732	0.5121715973
733	0.5121217296
734	0.5120475403
735	0.51196835
736	0.5118675349
737	0.5118123106
738	0.5117305939
739	0.5116424717
740	0.5115461079
741	0.5114662189
742	0.5114113148
743	0.5113096824
744	0.511232844
745	0.5111587613
746	0.5111011854
747	0.5110519672
748	0.5109155884
749	0.510838091
750	0.5107751749
751	0.510666763
752	0.5105475641
753	0.510452507
754	0.5103816414
755	0.5102916932
756	0.5101743109
757	0.5101300829
758	0.5100216921
759	0.5099535526
760	0.5099020163
761	0.5098337541
762	0.5097211312
763	0.5096089798
764	0.5095233299
765	0.5094915559
766	0.5094251218
767	0.5093698026
768	0.5092902766
769	0.5092165654
770	0.5091424718
771	0.5090661011
772	0.5089974669
773	0.5089546294
774	0.5088980722
775	0.5088159136
776	0.5087218389
777	0.5086454988
778	0.5085575659
779	0.5084903502
780	0.5083814759
781	0.5083217719
782	0.5082295775
783	0.5081588553
784	0.5080877868
785	0.508017817
786	0.5079181117
787	0.5078480329
788	0.5077953086
789	0.5077135314
790	0.5076746501
791	0.5076217334
792	0.5075686304
793	0.5074816677
794	0.5074043698
795	0.5073384859
796	0.507283291
797	0.507246343
798	0.5071750509
799	0.5071289192
800	0.5070682154
801	0.5070201625
802	0.5069450784
803	0.5069006295
804	0.506820275
805	0.5067583959
806	0.5066761791
807	0.5065643127
808	0.5065205414
809	0.5064579394
810	0.5064141666
811	0.506362309
812	0.5063068949
813	0.5062437665
814	0.5061602484
815	0.5061134092
816	0.5060574548
817	0.5059645715
818	0.505910465
819	0.5058256334
820	0.5057520469
821	0.5056719013
822	0.5056142473
823	0.5055634836
824	0.505498029
825	0.5054421471
826	0.5053822894
827	0.5053362748
828	0.5052819024
829	0.5051978627
830	0.5051384355
831	0.5050733196
832	0.5050164042
833	0.5049784847
834	0.5049102383
835	0.504813719
836	0.5047675691
837	0.5047214619
838	0.5046688785
839	0.5046128559
840	0.5045696211
841	0.5044973684
842	0.5044421355
843	0.5043796181
844	0.5043384864
845	0.5042967182
846	0.5042536278
847	0.5041755251
848	0.5040993676
849	0.5040237149
850	0.5039864785
851	0.5039310225
852	0.503896109
853	0.503860053
854	0.5037776558
855	0.5037205109
856	0.5036484887
857	0.5035786487
858	0.5034846632
859	0.5034364204
860	0.5033498719
861	0.5032825574
862	0.5031946921
863	0.503128729
864	0.5030871237
865	0.5030233299
866	0.5029388837
867	0.5028812378
868	0.5027932799
869	0.5027189631
870	0.5026386653
871	0.5025679576
872	0.5025005531
873	0.5024233757
874	0.5023183424
875	0.5022666974
876	0.5021831297
877	0.5021364751
878	0.5020736064
879	0.5019963086
880	0.5019360688
881	0.501883223
882	0.5018211245
883	0.501757368
884	0.5017032477
885	0.5016061513
886	0.5015147941
887	0.501468382
888	0.5014273299
889	0.5013749371
890	0.5013316875
891	0.5012245248
892	0.5011811049
893	0.5011166506
894	0.5010431244
895	0.5009865566
896	0.5009406323
897	0.5008873206
898	0.5008212595
899	0.5007726768
900	0.5007079896
901	0.5006604425
902	0.5006183164
903	0.5005639166
904	0.5005272033
905	0.5004812626
906	0.5004212809
907	0.5003433512
908	0.5002953283
909	0.5002229058
910	0.5001440677
911	0.5000852799
912	0.5000245619
913	0.4999496369
914	0.4999068633
915	0.4998544478
916	0.4998061324
917	0.4997653188
918	0.499724341
919	0.4996775151
920	0.4996316203
921	0.4995790039
922	0.4995274208
923	0.4994415979
924	0.4993926817
925	0.4993154075
926	0.4992364155
927	0.499172831
928	0.4991353878
929	0.4991026617
930	0.499063699
931	0.4989986492
932	0.4989307177
933	0.4988768683
934	0.4988279479
935	0.4987867832
936	0.4987551185
937	0.4987089025
938	0.4986646494
939	0.4986275259
940	0.4985676885
941	0.4985296339
942	0.4984844152
943	0.4984322888
944	0.4983570234
945	0.4982949761
946	0.4982440862
947	0.498194191
948	0.4981553698
949	0.4980980301
950	0.4980504294
951	0.4979684319
952	0.4979420224
953	0.497875967
954	0.4978072119
955	0.4977413551
956	0.4976987911
957	0.4976391575
958	0.4975847293
959	0.4975485113
960	0.4974857901
961	0.4974191841
962	0.4973642051
963	0.4973213221
964	0.4972500903
965	0.4972069353
966	0.4971625384
967	0.4971370812
968	0.4970635959
969	0.4969991883
970	0.496959147
971	0.4968765653
972	0.4968325009
973	0.4967708775
974	0.4967262887
975	0.4966758074
976	0.4966060668
977	0.4965710129
978	0.4965262365
979	0.4964653648
980	0.4964203887
981	0.4963269717
982	0.4962775506
983	0.4962257811
984	0.4961637841
985	0.496132573
986	0.4960721413
987	0.4960275568
988	0.4959540037
989	0.4959138449
990	0.4958414483
991	0.4957737338
992	0.4957339813
993	0.4956936783
994	0.4956351385
995	0.4955905518
996	0.4955085127
997	0.4954438491
998	0.4953981915
999	0.495362075
